sample_id,clause_id,clause_index,gold_modality,construction_features,clause_text,pred_modality_A,pred_modality_B,pred_modality_C,pred_modality_D,all_four_wrong,error_type,gold_action_count,pred_action_count_A,pred_action_count_B,pred_action_count_C,pred_action_count_D,manual_review_required,notes
estg_000020,c1,0,definition,copula_is_are,A prerequisite for the tax exemption is that the free drink allowance may not be sold by the employee and that it is only granted in such quantity as to actually preclude a sale,prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,2,2,2,2,True,Gold action span contains two separately annotated condition spans.
estg_000031,c1,0,definition,copula_is_are,"(1) Profit is the difference, to be determined by double-entry bookkeeping, between the business assets at the end of the financial year and the business assets at the end of the preceding financial year",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000037,c1,0,definition,shall_include,"In any event, business expenses shall include:
1. a) contributions by the insured person to compulsory insurance in the statutory health, accident and pension insurance, and
b) compulsory contributions to welfare and support institutions of the chambers of self-employed persons, to the extent that these institutions serve health, old-age, invalidity and survivors’ provision.
2. a) contributions to pension funds subject to the following conditions:
aa) the fund must be subject to state supervision;
bb) the fund must grant a legal entitlement to benefits for the purpose of old-age and survivors’ provision",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000040,c1,0,definition,,Dependants also include spouses and children (Section 106).,definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000046,c2,1,definition,,The research allowance generally amounts to up to 12% of research expenditures.,definition,definition,definition,statement,False,partially_correct,1,1,0,0,1,False,
estg_000057,c1,0,definition,explicit_means;copula_is_are,"Expenditure on repairs means expenditure that is not part of the cost of acquisition or construction and which, alone or together with construction expenditure, substantially increases the value in use of the building or substantially extends its useful life",definition,definition,definition,definition,False,partially_correct,1,0,0,0,0,False,
estg_000071,c1,0,definition,applies_apply,"For registered traders, Item 13 applies",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000080,c4,3,definition,shall_be_deemed;be_deemed;copula_is_are,"If, for business reasons, individual assets are transferred free of charge into the business assets of another taxpayer, the amount that the recipient would have had to pay for the individual asset at the time of receipt shall be deemed as the acquisition cost (deemed acquisition cost).",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,False,
estg_000082,c1,0,definition,copula_is_are,"To the extent that the input tax can be deducted (Section 12(1) of the Value Added Tax Act 1972), it does not form part of the acquisition or production costs of the asset on the acquisition or production of which it is incurred",obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,2,2,2,2,True,Negative part-whole predicate is classified as classification with low confidence.
estg_000083,c1,0,definition,applies_apply;does_not_apply;copula_is_are,This does not apply if the input tax is adjusted under Section 12(10) and (11) of the Turnover Tax Act 1972,prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,4,3,3,False,
estg_000083,c2,1,definition,shall_be_treated,"in this case, the additional amounts shall be treated as business income and the reduced amounts as business expenses.",prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,1,4,3,3,True,Only definition action that includes a coordinated subject plus predicate.
estg_000087,c1,0,definition,shall_be_deemed;be_deemed,"In the exchange of shares in a company or cooperative, no exchange shall be deemed to exist if the exchange takes place on the basis of a merger that does not result in liquidation taxation.",prohibition,prohibition,prohibition,prohibition,True,definition_to_prohibition_all_arms,1,4,1,2,1,False,
estg_000112,c1,0,definition,be_deemed;copula_is_are,a partner who is deemed to be an entrepreneur (co-entrepreneur),none,,definition,definition,False,partially_correct,1,1,0,0,0,True,Clause is a fragment; clause boundary and action are both uncertain.
estg_000136,c1,0,definition,,The assets to which the reserves (tax-free amounts) may be transferred shall be determined by the assets in respect of which the hidden reserves were disclosed (paragraph 3),obligation,obligation,obligation,obligation,True,definition_to_obligation_all_arms,1,1,1,1,1,True,Passive determination may be deeming or ordinary relational predicate.
