analysis_group,row_role,sample_id,clause_id,gold_modality,clause_text,gold_action_count,gold_action_texts,gold_condition_count,gold_constraint_count,gold_exception_count,pred_A_modality,pred_B_modality,pred_C_modality,pred_D_modality,pred_A_action_count,pred_B_action_count,pred_C_action_count,pred_D_action_count,all_actions_within_clause,predicate_markers,adjudication_label,confidence,notes
pair_estg_000505_vs_estg_000509,target,estg_000505,c2,obligation,"in this respect, a monthly wage payment period shall be assumed",1,be assumed,0,1,0,obligation,obligation,obligation,obligation,2,2,1,1,True,be,POTENTIAL_GOLD_INCONSISTENCY,high,POTENTIAL_GOLD_INCONSISTENCY
pair_estg_000505_vs_estg_000509,target,estg_000509,c2,definition,"for this purpose, a monthly wage payment period shall be assumed.",1,be assumed,1,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,POTENTIAL_GOLD_INCONSISTENCY,high,POTENTIAL_GOLD_INCONSISTENCY
pair_shall_be_determined,target,estg_000136,c1,definition,The assets to which the reserves (tax-free amounts) may be transferred shall be determined by the assets in respect of which the hidden reserves were disclosed (paragraph 3),1,be determined,0,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,CONTEXTUALLY_EXPLAINABLE,medium-high,"The difference is contextually explainable. 'X shall be determined by Y' defines the identity/content of X (Y supplies the determinant), while 'profit shall be determined in accordance with Section 5' imposes a method obligation on an identified taxpayer class."
pair_shall_be_determined,target,estg_000812,c1,obligation,"For commercial enterprises (Section 2) that are required to keep books under commercial law provisions, and for trading and business cooperatives, the profit shall be determined in accordance with Section 5 of the Income Tax Act 1988",1,be determined,2,1,0,obligation,obligation,obligation,obligation,1,1,1,1,True,be,CONTEXTUALLY_EXPLAINABLE,medium-high,"The difference is contextually explainable. 'X shall be determined by Y' defines the identity/content of X (Y supplies the determinant), while 'profit shall be determined in accordance with Section 5' imposes a method obligation on an identified taxpayer class."
apply_family_core,target,estg_000056,c1,obligation,"(7) For buildings that form part of the fixed assets and are let for consideration for residential purposes to persons who are not employees of the enterprise, the following shall apply with regard to repair expenses:",1,apply,1,1,0,obligation,obligation,,obligation,1,0,0,0,True,apply,DEONTIC_APPLICATION_DIRECTIVE,medium,application command; Gold treats the clause as an obligation imposing that repair-expense rules apply; it is not merely a definition of scope.
apply_family_core,target,estg_000071,c1,definition,"For registered traders, Item 13 applies",1,applies,1,0,0,obligation,obligation,obligation,obligation,1,1,1,1,True,applies,DEFINITIONAL_SCOPE_APPLICATION,medium-high,scope/application statement; The clause says which item governs a class of traders; no duty-bearer or regulated conduct is expressed.
apply_family_core,target,estg_000083,c1,definition,This does not apply if the input tax is adjusted under Section 12(10) and (11) of the Turnover Tax Act 1972,1,does not apply,0,0,1,prohibition,prohibition,prohibition,prohibition,1,4,3,3,True,apply,DEFINITIONAL_SCOPE_EXCEPTION,high,scope/application plus exception; The clause defines a non-application case and carries the exception; no command to an actor is expressed.
apply_family_core,target,estg_000128,c2,obligation,Section 10(2) last sentence shall apply.,1,apply,0,1,0,permission,permission,permission,permission,0,0,0,0,True,apply,DEONTIC_CROSS_REFERENCE_APPLICATION,high,"cross-reference command; Gold reads the cross-reference as a mandatory application of Section 10(2), not as a definition."
apply_family_core,target,estg_000145,c1,permission,(6) Taxpayers who determine their profit in accordance with Section 4(3) may apply in the tax return for an amount to be left tax-free for the notional severance pay claims existing at the end of the business year,1,apply,1,2,0,permission,permission,permission,permission,1,1,1,1,True,apply,DIFFERENT_VERB_SENSE_PERMISSION,high,false friend; verb sense; 'apply' here means to make/submit an application; it is an actor action and not the applicability predicate under review.
apply_family_core,target,estg_000164,c1,definition,"For the consideration of these expenses, the following applies:",1,applies,1,0,0,definition,definition,definition,definition,0,0,0,0,True,applies,DEFINITIONAL_SCOPE_INTRODUCTION,medium,scope/application statement; An introductory applicability statement for the following computation rules; no actor or duty is expressed.
apply_family_core,target,estg_000208,c2,obligation,"Subsection (1)(3) shall also apply if, within the group of persons referred to in point 1, the lender or loan debtor on the one hand and the developer (owner) or housing applicant (beneficiary, tenant) on the other hand are not identical",1,apply,1,0,0,obligation,obligation,prohibition,obligation,1,1,1,1,True,apply,DEONTIC_APPLICATION_DIRECTIVE,medium,application command; Gold treats the extension of subsection (1)(3) as a normative application requirement in this context.
apply_family_core,target,estg_000209,c2,definition,"this also applies to capital reductions by a stock corporation or a limited liability company as the legal predecessor of the stock corporation (Sections 219 and 245 of the Stock Corporation Act 1965, Section 2 of the Federal Act on the Transformation of Commercial Companies, Federal Law Gazette)",1,also applies,0,1,0,prohibition,prohibition,prohibition,prohibition,1,1,1,1,True,applies,DEFINITIONAL_SCOPE_EXTENSION,medium,classification-scope extension; The clause extends a classification/eligibility rule to capital reductions; it does not impose a new behavioural duty.
apply_family_core,target,estg_000218,c1,definition,"In the case of a reduction in deductible insurance premiums (Section 1(2), last sentence), the notification obligation does not apply if the refunded amounts are offset against future insurance premiums",1,does not apply,2,0,0,non_obligation,prohibition,prohibition,prohibition,1,1,1,1,True,apply,DEFINITIONAL_SCOPE_EXCEPTION,high,scope/application plus exception; The clause defines when the notification obligation does not apply; it is a scope/exception statement.
apply_family_core,target,estg_000306,c1,obligation,"For buildings serving residential purposes, the following applies with respect to repair and maintenance expenses",1,applies,1,1,0,,definition,,definition,0,0,0,0,True,applies,DEONTIC_SCOPE_INTRODUCTION,low-medium,"unresolved near-identical contrast; Surface-parallel to definitional introductory 'applies', but Gold labels this obligation; no stable Gold discriminator is visible."
apply_family_core,target,estg_000664,c1,definition,The following shall apply to this provision:,1,apply,0,1,0,obligation,obligation,obligation,obligation,0,0,0,0,True,apply,DEFINITIONAL_SCOPE_INTRODUCTION,medium-high,scope/application statement; The clause introduces the applicability of a provision and contains no actor/duty-bearing predicate.
apply_family_core,target,estg_000800,c1,definition,This does not apply as long as the sponsoring undertaking suspends the contribution payments (Section 4(4) no. 2 of the Income Tax Act 1988),1,does not apply,1,1,0,prohibition,prohibition,prohibition,prohibition,1,0,1,0,True,apply,DEFINITIONAL_SCOPE_EXCEPTION,high,scope/application plus exception; The clause defines a non-application condition/exception; no deontic actor is expressed.
