sample_id,clause_id,action_index,gold_action_text,action_length,taxonomy_primary,taxonomy_secondary,boundary_features,manual_review_required,pred_modality_A,pred_action_text_A,action_outcome_A,pred_modality_B,pred_action_text_B,action_outcome_B,pred_modality_C,pred_action_text_C,action_outcome_C,pred_modality_D,pred_action_text_D,action_outcome_D
estg_000020,c1,0,is that the free drink allowance may not be sold by the employee and that it is only granted in such quantity as to actually preclude a sale,140,action_span_includes_subordinate_phrase,copular_action;contains_condition,action_overlaps_conditions;action_longer_than_30_chars,True,prohibition,sold || granted,narrower,prohibition,sold || granted,narrower,prohibition,sold || granted,narrower,prohibition,sold || granted,narrower
estg_000031,c1,0,is the difference,17,copular_action,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000037,c1,0,shall include,13,definitional_verb,,,False,obligation,include,narrower,obligation,include,narrower,obligation,include,narrower,obligation,include,narrower
estg_000040,c1,0,include,7,definitional_verb,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000046,c2,0,amounts to,10,relational_predicate,,,False,definition,amounts to,exact_match,definition,,empty,definition,,empty,statement,amounts to,exact_match
estg_000057,c1,0,means,5,definitional_verb,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000071,c1,0,applies,7,relational_predicate,scope_application,,False,obligation,Item 13 applies,broader,obligation,Item 13 applies,broader,obligation,Item 13 applies,broader,obligation,Item 13 applies,broader
estg_000080,c4,0,shall be deemed as the acquisition cost,39,deeming_legal_fiction,classification_verb,action_longer_than_30_chars,True,obligation,be deemed as the acquisition cost (deemed acquisition cost),overlap_mismatch,obligation,deemed as the acquisition cost,narrower,obligation,be deemed as the acquisition cost,narrower,obligation,deemed as the acquisition cost,narrower
estg_000082,c1,0,not form part,13,classification_verb,,,True,obligation,does not form part of the acquisition or production costs of the asset || be reported as a receivable,broader,obligation,does not form part of the acquisition or production costs of the asset || be reported as a receivable,broader,obligation,does not form part of the acquisition or production costs of the asset || be reported as a receivable,broader,obligation,does not form part of the acquisition or production costs of the asset || be reported as a receivable,broader
estg_000083,c1,0,does not apply,14,relational_predicate,scope_application;negated,,False,prohibition,apply,narrower,prohibition,apply || is adjusted || shall be treated as business income || as business expenses,narrower,prohibition,apply || treated as business income || as business expenses,narrower,prohibition,apply || adjusted || treated as business income,narrower
estg_000083,c2,0,the additional amounts shall be treated as business income and the reduced amounts as business expenses,103,action_span_includes_subordinate_phrase,classification_verb;includes_subject,action_longer_than_30_chars,True,prohibition,apply,missing,prohibition,apply || is adjusted || shall be treated as business income || as business expenses,narrower,prohibition,apply || treated as business income || as business expenses,narrower,prohibition,apply || adjusted || treated as business income,narrower
estg_000087,c1,0,be deemed to exist,18,deeming_legal_fiction,,,False,prohibition,exchange || deemed to exist || takes place || result in liquidation taxation,narrower,prohibition,exchange shall be deemed to exist,broader,prohibition,exchange || be deemed to exist,exact_plus_extra,prohibition,exchange,missing
estg_000112,c1,0,is deemed,9,deeming_legal_fiction,,,True,none,acquisition,missing,,,empty,definition,,empty,definition,,empty
estg_000136,c1,0,be determined,13,deeming_legal_fiction,,,True,obligation,be determined,exact_match,obligation,determined,narrower,obligation,be determined,exact_match,obligation,be determined,exact_match
estg_000164,c1,0,applies,7,relational_predicate,scope_application,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000164,c2,0,compensated,11,classification_verb,,,True,definition,compensated,exact_match,obligation,compensated,exact_match,obligation,compensated,exact_match,obligation,compensated,exact_match
estg_000195,c1,0,is irrelevant,13,copular_action,negated,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000208,c3,0,are shares,10,classification_verb,copular_action,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000208,c3,1,are acquired,12,other_event_predicate,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000208,c4,0,are newly issued,16,other_event_predicate,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000208,c4,1,are acquired,12,other_event_predicate,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
estg_000208,c4,2,is declared,11,other_event_predicate,,,False,definition,,empty,definition,,empty,definition,,empty,definition,,empty
