semantic_situation,feature_key,gold_pattern,condition_samples,constraint_samples,nested_constraint_samples,condition_only_samples,constraint_outside_samples,example_supporting_cases,example_counterexamples,stable_principle,manual_review_required
factual applicability trigger,factual_applicability_trigger,descriptive feature present in Gold spans; role is not fixed by the feature,86,11,3,83,10,estg_000037;estg_000061;estg_000077,estg_000004;estg_000038;estg_000039;estg_000046;estg_000052,no_stable_lexical_or_topic_rule_identified,True
threshold on eligibility,threshold_eligibility,descriptive feature present in Gold spans; role is not fixed by the feature,13,15,1,12,14,estg_000106,estg_000046;estg_000052;estg_000070;estg_000075;estg_000077,no_stable_lexical_or_topic_rule_identified,True
threshold on regulated action,threshold_regulated_action,descriptive feature present in Gold spans; role is not fixed by the feature,12,15,1,11,14,estg_000106,estg_000046;estg_000052;estg_000070;estg_000075;estg_000077,no_stable_lexical_or_topic_rule_identified,True
duration,duration,descriptive feature present in Gold spans; role is not fixed by the feature,19,34,4,15,30,estg_000106;estg_000214;estg_000218;estg_000223,estg_000002;estg_000027;estg_000031;estg_000044;estg_000051,no_stable_lexical_or_topic_rule_identified,True
deadline,deadline,descriptive feature present in Gold spans; role is not fixed by the feature,23,24,4,18,20,estg_000106;estg_000214;estg_000218;estg_000223,estg_000027;estg_000030;estg_000040;estg_000052;estg_000056,no_stable_lexical_or_topic_rule_identified,True
frequency,frequency,descriptive feature present in Gold spans; role is not fixed by the feature,2,8,0,2,8,,estg_000051;estg_000056;estg_000092;estg_000143;estg_000283,no_stable_lexical_or_topic_rule_identified,True
quantity threshold,quantity,descriptive feature present in Gold spans; role is not fixed by the feature,45,49,2,44,47,estg_000061;estg_000106,estg_000027;estg_000030;estg_000037;estg_000040;estg_000046,no_stable_lexical_or_topic_rule_identified,True
percentage,percentage,descriptive feature present in Gold spans; role is not fixed by the feature,3,10,0,3,10,,estg_000040;estg_000046;estg_000052;estg_000070;estg_000075,no_stable_lexical_or_topic_rule_identified,True
purpose limitation,purpose,descriptive feature present in Gold spans; role is not fixed by the feature,10,5,1,7,4,estg_000037,estg_000027;estg_000077;estg_000106;estg_000108;estg_000109,no_stable_lexical_or_topic_rule_identified,True
legal reference,legal_reference,descriptive feature present in Gold spans; role is not fixed by the feature,34,34,2,33,32,estg_000061;estg_000106,estg_000027;estg_000030;estg_000040;estg_000043;estg_000056,no_stable_lexical_or_topic_rule_identified,True
manner restriction,manner_restriction,descriptive feature present in Gold spans; role is not fixed by the feature,25,33,0,25,33,,estg_000004;estg_000020;estg_000031;estg_000037;estg_000038,no_stable_lexical_or_topic_rule_identified,True
exception-like condition,exception_like,descriptive feature present in Gold spans; role is not fixed by the feature,1,1,0,1,1,,estg_000070;estg_000210,no_stable_lexical_or_topic_rule_identified,True
exclusivity / exemplification,exclusivity,descriptive feature present in Gold spans; role is not fixed by the feature,5,8,0,5,8,,estg_000020;estg_000039;estg_000059;estg_000131;estg_000133,no_stable_lexical_or_topic_rule_identified,True
nested condition + constraint restriction,nested_restriction,Gold condition and Gold constraint spans overlap in the same clause; both relations occur,10,10,10,116,132,estg_000028;estg_000037;estg_000057;estg_000061;estg_000077;estg_000106;estg_000214;estg_000218,,condition_and_constraint_may_overlap,True
